,Energy,Error,Architecture,Method,cost
212,0.250297164204449,0.179686214558917,ResNet,Log-FlexiBO+GP,0
213,0.232513559677564,0.196862145589165,ResNet,Log-FlexiBO+GP,0
214,0.198187448183553,0.201911229353196,ResNet,Log-FlexiBO+GP,0
215,0.187655049793733,0.231473605823255,ResNet,Log-FlexiBO+GP,0
216,0.15684023053949,0.261929082413218,ResNet,Log-FlexiBO+GP,0
217,0.15545766284099,0.282533169187073,ResNet,Log-FlexiBO+GP,0
218,0.137825557120454,0.308977014075185,ResNet,Log-FlexiBO+GP,0
219,0.276967027259197,0.207745160772368,ResNet,Max-Uncertainty + GP,0
220,0.294517595117517,0.23301245069567,ResNet,Max-Uncertainty + GP,0
221,0.205448543146245,0.3152,ResNet,Max-Uncertainty + GP,0
222,0.191984023053949,0.389290824132182,ResNet,Max-Uncertainty + GP,0
223,0.18837233925664,0.408076513508936,ResNet,Max-Uncertainty + GP,0
224,0.359772157462069,0.203365592884083,ResNet,Max-Uncertainty + RF,0
225,0.209371899753279,0.209370867451569,ResNet,Max-Uncertainty + RF,0
226,0.233019288204329,0.210915986584779,ResNet,Max-Uncertainty + RF,0
227,0.225387911659824,0.233346861848461,ResNet,Max-Uncertainty + RF,0
228,0.220843047356487,0.242110842594117,ResNet,Max-Uncertainty + RF,0
229,0.182502472206407,0.25708674515688,ResNet,Max-Uncertainty + RF,0
230,0.167502022714333,0.276899885620367,ResNet,Max-Uncertainty + RF,0
231,0.153290681529871,0.283861312278743,ResNet,Max-Uncertainty + RF,0
232,0.276967027259197,0.150774516077237,ResNet,PAL,0
233,0.214517595117517,0.23301245069567,ResNet,PAL,0
234,0.154485431462447,0.3152,ResNet,PAL,0
235,0.148402305394904,0.389290824132182,ResNet,PAL,0
236,0.14837233925664,0.408076513508936,ResNet,PAL,0
237,0.482864363269506,0.170370010571736,ResNet,PESMO,0
238,0.369772157462069,0.213655928840829,ResNet,PESMO,0
239,0.363718997532789,0.223708674515688,ResNet,PESMO,0
240,0.213019288204329,0.229159865847793,ResNet,PESMO,0
241,0.205387911659824,0.234686184846073,ResNet,PESMO,0
242,0.192502472206407,0.23708674515688,ResNet,PESMO,0
